127.0.0.1, 2018-07-05 11:04:09, GET, /, HTTP/1.1, 303, 0.003835
127.0.0.1, 2018-07-05 11:04:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.202614
127.0.0.1, 2018-07-05 11:04:14, GET, /admin/default/index, HTTP/1.1, 200, 0.126216
127.0.0.1, 2018-07-05 11:04:17, POST, /admin/default/index, HTTP/1.1, 303, 0.016783
127.0.0.1, 2018-07-05 11:04:17, GET, /admin/default/site, HTTP/1.1, 200, 0.033230
127.0.0.1, 2018-07-05 11:04:18, POST, /admin/default/check_version, HTTP/1.1, 200, 0.581438
127.0.0.1, 2018-07-05 11:05:01, POST, /admin/default/site, HTTP/1.1, 303, 0.079271
127.0.0.1, 2018-07-05 11:05:01, GET, /admin/default/design/Fitters, HTTP/1.1, 200, 0.108370
127.0.0.1, 2018-07-05 11:05:07, GET, /Fitters/default/index, HTTP/1.1, 200, 0.052471
127.0.0.1, 2018-07-05 11:05:11, GET, /Fitters/default/index, HTTP/1.1, 200, 0.025771
127.0.0.1, 2018-07-05 12:27:15, GET, /, HTTP/1.1, 303, 0.005756
127.0.0.1, 2018-07-05 12:27:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.135972
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.028879
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001492
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002160
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003955
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002531
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002613
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.005149
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004548
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003358
127.0.0.1, 2018-07-05 12:29:09, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002170
127.0.0.1, 2018-07-05 12:29:12, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001162
127.0.0.1, 2018-07-05 12:29:12, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.001776
127.0.0.1, 2018-07-05 12:29:12, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000757
